Date,Nasdaq Change %,Nasdaq Trend,S&P500 Change %,S&P500 Trend,DJI Change %,DJI Trend,VIX Change %,VIX Trend
1/2/2008,0.1400,1,-1.44,0,-1.67,0,2.98,1
1/3/2008,0.1500,1,0.00,0,0.10,1,-2.93,0
1/4/2008,-0.3800,0,-2.46,0,-1.96,0,6.45,1
1/7/2008,0.7400,1,0.32,1,0.21,1,-0.63,0
1/8/2008,0.2600,1,-1.84,0,-1.86,0,6.89,1
1/9/2008,-0.2900,0,1.36,1,1.16,1,-5.15,0
1/10/2008,0.5100,1,0.79,1,0.92,1,-2.78,0
1/11/2008,-0.1000,0,-1.36,0,-1.92,0,0.98,1
1/14/2008,-0.0700,0,1.09,1,1.36,1,-3.29,0
1/15/2008,0.8400,1,-2.49,0,-2.17,0,1.92,1
1/16/2008,0.5000,1,-0.56,0,-0.28,0,4.46,1
1/17/2008,1.2500,1,-2.91,0,-2.46,0,16.74,1
1/18/2008,0.5000,1,-0.60,0,-0.49,0,-4.50,0
1/22/2008,-0.2300,0,-1.11,0,-1.06,0,14.09,1
1/23/2008,0.5400,1,2.14,1,2.50,1,-6.42,0
1/24/2008,-1.9400,0,1.01,1,0.88,1,-4.27,0
1/25/2008,0.5000,1,-1.59,0,-1.38,0,4.68,1
1/28/2008,0.4500,1,1.75,1,1.45,1,-4.47,0
1/29/2008,0.7000,1,0.62,1,0.78,1,-1.66,0
1/30/2008,0.2300,1,-0.48,0,-0.30,0,1.10,1
1/31/2008,-0.0500,0,1.68,1,1.67,1,-5.14,0
2/1/2008,1.2800,1,1.22,1,0.73,1,-8.32,0
2/4/2008,-0.0600,0,-1.05,0,-0.85,0,8.20,1
2/5/2008,0.9200,1,-3.20,0,-2.93,0,8.66,1
2/6/2008,0.4700,1,-0.76,0,-0.53,0,2.58,1
2/7/2008,1.3200,1,0.79,1,0.38,1,-4.52,0
2/8/2008,0.2200,1,-0.42,0,-0.53,0,1.27,1
2/11/2008,-0.4200,0,0.59,1,0.48,1,-1.46,0
2/12/2008,0.8700,1,0.73,1,1.09,1,-4.60,0
2/13/2008,-0.8200,0,1.36,1,1.45,1,-5.51,0
2/14/2008,-0.2100,0,-1.34,0,-1.40,0,2.65,1
2/15/2008,0.8000,1,0.08,1,-0.23,0,-2.04,0
2/19/2008,1.0200,1,-0.09,0,-0.09,0,2.28,1
2/20/2008,-0.6500,0,0.83,1,0.73,1,-4.65,0
